href,nom,photo,bloc,groupe_id,liste,region,sexe,age,profession,siege
elus/Jamila_Debbech,Jamila Debbech,./2014/uploads/images/Jamila_Debbech.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Ariana,Female,49,Manager (public sect),98
elus/Lamia_Dridi,Lamia Dridi,./2014/uploads/images/lamia dridi.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Alliance Démocratique,Bizerte,Female,49,,79
elus/Houcine_Jaziri,Houcine Jaziri,./2014/uploads/images/Houcine_Jaziri.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,France 1,Male,49,Entrepreneur,31
elus/Jamila_Jouini,Jamila Jouini,./2014/uploads/images/Jamila_Jouini.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Tataouine,Female,49,Teacher,97
elus/Faycel_Khelifa,Faycel Khelifa,./2014/uploads/images/Faycel_Khelifa.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Sousse,Male,49,Manager (public sect),193
elus/Ferida_Laabidi,Ferida Laabidi,./2014/uploads/images/Ferida_Laabidi.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Kairouan,Female,49,Lawyer,183
elus/Heger_Laaroussi,Heger Laaroussi,./2014/uploads/images/Heger_Laaroussi.thumb50.png,Bloc Al Horra,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Mouvement Nidaa Tounes,Sfax 2,Female,49,Lawyer,13
elus/Mbarka_Aouania,Mbarka Aouania ,./2014/uploads/images/aouania mbarka.thumb50.png,Popular Front,Front_Populaire,Popular Front,Sidi Bouzid,Female,50,Primary Teacher,156
elus/Chaker_Ayadi,Chaker Ayadi,./2014/uploads/images/Chaker_Ayadi.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Jendouba,Male,50,Lawyer,146
elus/Naceur_Channoufi,Naceur Channoufi,./2014/uploads/images/channoufi naceur.thumb50.png,Bloc Al Horra,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Parti l'initiative,Zaghouan,Male,50,Primary Teacher,80
elus/Sabri_Dekhil,Sabri Dekhil,./2014/uploads/images/dekhil sabri.thumb50.png,Democratic Bloc,Bloc_Démocrate,Congrès Pour la République,Gabès,Male,50,Docteur ,216
elus/Samir_Dilou,Samir Dilou,./2014/uploads/images/Samir_Dilou.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Bizerte,Male,50,Lawyer,139
elus/Noomane_El_Euch,Noomane El Euch,./2014/uploads/images/noomane el euch.thumb50.png,Democratic Bloc,Bloc_Démocrate,Courant Démocratique,Sfax 1,Male,50,Entrepreneur,214
elus/Mounir_Hamdi,Mounir Hamdi,./2014/uploads/images/Mounir_Hamdi.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Beja,Male,50,Lawyer,245
elus/Safia_Khalfi,Safia Khalfi,./2014/uploads/images/Safia_Khalfi.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Kasserine,Female,50,Teacher,177
elus/Leila_%d9%90Chettaoui_Bougatef,Leila ِChettaoui Bougatef,./2014/uploads/images/Leila_Bougatef.thumb50.png,Bloc Al Horra,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Mouvement Nidaa Tounes,Tunis 2,Female,50,Manager (Private Sect),199
elus/Dalila_Babba,Dalila Babba,./2014/uploads/images/Dalila_Babba.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,France 2,Female,51,Not Categorized,132
elus/Moez_Belhaj_Rhouma,Moez Belhaj Rhouma,./2014/uploads/images/moez belhaj rhouma.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Nabeul 1,Male,51,,235
elus/Sahbi_Ben_Fraj,Sahbi Ben Fraj,./2014/uploads/images/Sahbi_Ben Fraj.thumb50.png,Bloc Al Horra,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Mouvement Nidaa Tounes,Tunis 2,Male,51,Docteur ,40
elus/Ismail_Ben_Mahmoud,Ismail Ben Mahmoud,./2014/uploads/images/Ismail_Ben Mahmoud.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Sfax 2,Male,51,Employee,35
elus/Monia_Brahim,Monia Brahim,./2014/uploads/images/Monia_Brahim.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Sousse,Female,51,Student,236
elus/Neji_Jmal,Neji Jmal,./2014/uploads/images/Neji_Jmal.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,France 2,Male,51,Employee,237
elus/Rim_Mahjoub,Rim Mahjoub,./2014/uploads/images/rym mahjoub.thumb50.png,Afek Tounes,Afek_Tounes_et_lappel_des_tunisiens_à_létranger,Afek Tounes,Mahdia,Female,51,,17
elus/Taieb_Medni,Taieb Medni,./2014/uploads/images/Taieb_Medni.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Tataouine,Male,51,Lawyer,66
elus/Faycel_Tebini,Faycel Tebini,./2014/uploads/images/tebini faycel.thumb50.png,Aucun bloc,Aucun_bloc,La voix des Farmers,Jendouba,Male,51,Employee,165
elus/Samia_Abbou,Samia Abbou,./2014/uploads/images/abbou samia.thumb50.png,Democratic Bloc,Bloc_Démocrate,Courant Démocratique,Tunis 1,Female,52,Lawyer,212
elus/Lotfi_Ali,Lotfi Ali,./2014/uploads/images/ali lotfi.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Parti l'initiative,Gafsa,Male,52,Entrepreneur,18
